,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
WCG,World Crypto Gold,SHA-256,True,Proof of Stake,,900000000
ECC,ECC,Scrypt,False,PoS,25000000000,25000000000
STN,Steneum Coin,Scrypt,True,PoW,,20000000
PCOIN,Pioneer Coin,X11,True,PoW,8478104.33969947,23000000
UBTC,UnitedBitcoin,SHA-256,True,PoW,20166000,20166000
ITZ,Interzone,C11,True,PoW,11916588.09471,23000000
XBP,Black Pearl Coin,X13,True,PoW/PoS,,50000000
SGL,Sigil,NeoScrypt,False,PoW,0,50000000
OPC,OP Coin,Scrypt,True,PoW/PoS,0,2000000000
SHA,Shacoin,SHA-256,True,PoS,,350000000
BTW,BitWhite,DPoS,True,DPoS,,60000000
CROAT,Croat,CryptoNight,True,PoW,,100467441
VAL,Valorbit,Scrypt,True,PoW/PoS,0,92233720000000000
TPAY,TokenPay,POS 3.0,True,PoS,20445861.5344251,25000000
CVNG,Crave-NG,SHA-256,True,PoS,,1000000000
MCT,1717 Masonic Commemorative Token,Ethash,True,PoS,1618033,1618033
CWIS,Crypto Wisdom Coin,Scrypt,False,PoW,17630550.2128923,24000000
MBC,My Big Coin,Scrypt,True,PoW and PoS,9399342.52839847,30000000
WOBTC,WorldBTC,Scrypt,False,PoW/PoS,,210000000
TRTL,TurtleCoin,CryptoNight,True,PoW,53139835213.77,1000000000000
NDLC,NeedleCoin,X11,False,PoS/PoW,,120000000
MUN,MUNcoin,SkunkHash,True,PoW,4818338.98949984,16600000
USX,Unified Society USDEX,Scrypt,True,PoW/PoS,234846265.782157,232000000
BCA,Bitcoin Atom,SHA-256,True,PoW/PoS,,21000000
B2X,SegWit2x,X11,True,PoW/PoS,,21000000
NBR,Niobio Cash,CryptoNight,True,PoW,133932467.774108,336000000
SCOOBY,Scooby coin,Scrypt,True,PoW/PoS,,21000000
BUN,BunnyCoin,Scrypt,True,PoW,,100000000000
BSR,BitSoar Coin,X11,False,PoS,3680297312.25584,3980000000
SKULL,Pirate Blocks,X11,True,PoW/PoS,,240000000
BTCP,Bitcoin Private,Equihash,True,PoW,0,21000000
SKC,Skeincoin,Skein,True,PoW,0,17000000
KRM,Karma,Groestl,True,PoS,,3000000000
CDY,Bitcoin Candy,Equihash,True,PoW,,21000000000
SSS,ShareChain,Scrypt,True,PoW,10000000000,10000000000
CRDNC,Credence Coin,SHA-256,False,PoW/PoS,3427006,25000000
TRF,Travelflex,Dagger,True,PoW,107325266.027783,100000000
KREDS,KREDS,Lyra2REv2,True,PoW,643795911.540095,1100000000
VULC,Vulcano,NIST5,True,PoS/PoW,,421126225
TOKC,Tokyo Coin,X13,True,PoS,230298925,800000000
BBP,BiblePay,Proof-of-BibleHash,True,POBh,1772091549.88818,5200000000
LCC,LitecoinCash,SHA-256 + Hive,True,PoW + Hive,638382332.208514,840000000
FLIP,BitFlip,Scrypt,True,PoW,12446100.00278,40000000
LOT,LottoCoin,Scrypt,True,PoW,14491014421,18406979840
FUNK,Cypherfunks Coin,Scrypt,True,PoW,,49275000000
LEAF,LeafCoin,Scrypt,True,PoW,0,21000000000
BASHC,BashCoin,Skein,False,PoW/PoS,11661844.4720073,72000000
DGM,DigiMoney,X11,False,PoW/PoS,3521630,25000000
CBS,Cerberus,NeoScrypt,True,PoW,0,31500000
BTCH,Bitcoin Hush,Equihash,True,PoW,0,21000000
LIZ,Lizus Payment,Skein,False,PoW/PoS,2985970.9999482,69000000
CIF,Crypto Improvement Fund,X11,True,PoW,211297638.500483,500000000
SPD,Stipend,C11,True,PoW/PoS,11251342.1879021,19340594
POA,Poa Network,Proof-of-Authority,True,PoA,204479039,252460800
PUSHI,Pushi,X11,True,PoW/PoS,2167827.1,25000000
POKER,PokerCoin,Scrypt,False,PoS/PoW,0,466666667
ELP,Ellerium,XEVAN,True,PoW/PoS,419275.38,60000000
VLX,Velox,Scrypt,True,PoS,25570013.1348022,124000000
ONT,Ontology,VBFT,True,PoS,650848625,1000000000
CLO,Callisto Network,Ethash,True,PoW,247612453,6500000000
CRU,Curium,X11,True,PoW,0,22000000
ELIC,Elicoin,YescryptR16,True,PoW,,10000000
TUBE,BitTube,CryptoNight,True,PoW,80049082.9057215,1000000000
DIN,Dinero,NeoScrypt,True,PoW,0,100000000
PSD,Poseidon,Scrypt,True,PoW,4070212.1493016,21000000
LELE,Lelecoin,Curve25519,True,PoS,,1000000000
AKA,Akroma,Ethash,True,PoW,,100000000
MANNA,Manna,SHA-256,False,PoW,2360478328.70966,10044655075.56243680
ADK,Aidos Kuneen,IMesh,True,PoW,25000000,25000000
SERA,Seraph,PHI1612,False,PoW/PoS,1360250,32000000
AET,AfterEther,Ethash,False,PoW,,200000000
CMOS,Cosmo,Quark,False,PoW,8928876.68577239,11892000
REDN,Reden,X16S,False,PoW,0,14000000
TLP,TulipCoin,Scrypt,True,PoW/PoS,,5250000000
BSX,Bitspace,NIST5,True,PoW/PoS,13787854.6277781,50000000
FNO,Fonero,PHI1612,True,PoW,,18400000
XSG,Snowgem,Equihash,True,PoW,0,84096000
CVTC,CavatCoin,DPoS,False,DPoS,,21000000
XTL,Stellite,CryptoNight,False,PoW,,21000000000
BRIA,Briacoin,Scrypt,True,PoW/PoS,845637.81347436,3000000
IC,Ignition,Scrypt,True,PoW/PoS,1182153.5,5000000
MNB,MoneyBag,X11,False,PoS,,50000000
BTL,Bitrolium,Equihash,True,PoW,71355477,70000000
BCI,Bitcoin Interest,Equihash,True,PoW,0,22300000
MEDIC,MedicCoin,Scrypt,True,PoS,267297676.3125,500000000
FLM,FOLM coin,PHI1612,False,PoW,0,23001916
ALPS,Alpenschillling,Lyra2Z,True,PoW,27340501.6514783,300000000
ZEL,Zelcash,Equihash,True,PoW/PoS,0,210000000
BITG,Bitcoin Green,Green Protocol,True,PoS,9803691.3618195,21000000
DEV,Deviant Coin,PoS,True,PoS,21876586.8530324,88000000
ABJ,Abjcoin,Scrypt,True,PoW/PoS,9880502.37178894,30000000
RAP,Rapture,NeoScrypt,False,PoW,4478901.29233779,21000000
ANI,Animecoin,Quark,True,PoW,,1976000000
PHC,Profit Hunters Coin,Scrypt,True,PoW/PoS,0,100000000
SEM,Semux,Semux BFT consensus,True,DPoS,1231147,100000000
BBK,BitBlocks,Scrypt,True,PoW/PoS,0,500000000
UWC,Uwezocoin,Scrypt,False,PoW,0,840000000
FTO,FuturoCoin,X11,True,PoW,31801461.1867843,100000000
CARE,Carebit,Quark,True,PoW/PoS,139739596.506702,200000000
NZL,Zealium,PoS,True,PoS,11075254.0929996,80000000
XMC,Monero Classic,CryptoNight,True,PoW,16016864,18400000
TIPS,FedoraCoin,Scrypt,True,PoW,,500000000000
CHARM,Charm Coin,NeoScrypt,True,PoW,,250000000
PROTON,Proton,X16R,True,PoS,4403800,45000000
DERO,Dero,CryptoNight,True,PoW,,18400000
DEAL,iDealCash,Scrypt,True,PoW/PoS,1404157529.46026,5121951220
JUMP,Jumpcoin,NIST5,True,PoW,21069346.2522598,21000000
INFX,Infinex,Lyra2RE,True,PoW,5097689.71077377,26280000
XBI,Bitcoin Incognito,XEVAN,True,PoS/PoW,10904963.0923455,21000000
KEC,KEYCO,Tribus,True,PoW,795447,18000000
SABR,SABR Coin,Scrypt,True,PoW/PoS,,133100000
HWC,HollyWoodCoin,Scrypt,True,PoS,38706809.466535,26000000
GIN,GINcoin,Lyra2Z,True,PoW,6986399.70430446,10500000
XMV,MoneroV,CryptoNight,True,PoW,,256000000
PAR,Parlay,Scrypt,False,PoS,3783270,30000000
LTCC,Listerclassic Coin,Scrypt,False,PoW/PoS,8094818.38874615,110000000
AMX,Amero,NeoScrypt,True,PoW/PoS,,15000000
PLTC,PlatinCoin,CryptoNight,True,PoW,84300,600000518
KNG,BetKings,X11,False,PoS,11359634.6460345,8148139
COG,Cognitio,SHA-256D,False,PoW/PoS,658584.46163633,7500000
BEN,BitCOEN,SHA-256,True,Limited Confidence Proof-of-Activity ,,100000000
LOKI,Loki,CryptoNight Heavy,True,PoW,19153632,150000000
NCP,Newton Coin,CryptoNight,True,PoW,41294520017,184000000000
STAX,Staxcoin,Scrypt,True,PoW/PoS,,43500000
MRN,Mercoin,Scrypt,False,PoW/PoS,25330252.323,100000000
SIC,Swisscoin,Scrypt,True,PoW/PoS,10200000000,10200000000
EXCC,ExchangeCoin,Equihash,False,PoW,0,32000000
REL,Reliance,X11,False,PoS,7256580,62000000
BTCN,BitcoiNote,CryptoNight,True,PoW,,21000000
XT3,Xt3ch,Scrypt,True,PoS,7630000.0154,44000000
MGD,MassGrid,Jump Consistent Hash,True,PoW,135862416.039898,168000000
VIG,TheVig,SHA-256D,True,PoW/PoS,33238183.7225834,100000000
PLURA,PluraCoin,CryptoNight,True,PoW,560085952.404637,1000000000
EMAR,EmaratCoin,Scrypt,True,PoW/PoS,21599339.6728,84000000
XTNC,XtendCash,Wild Keccak,False,PoW,,100000000
ROE,Rover Coin,X11,True,PoW/PoS,,60000000
LTCP,LitecoinPro,Scrypt,True,PoW,,17500000
DKD,Dekado,X15,True,PoS,30284196.369129,90000000
LYNX,Lynx,Scrypt,True,HPoW,77872059787.8998,92000000000
POSQ,Poseidon Quark,Quark,True,PoS,2716264.95302831,650000000 
YCE,MYCE,Scrypt,False,PoW/PoS,63613903.880998,250000000
ARO,Arionum,SHA-512,False,PoW,60045900,545399000
BWS,BitcoinWSpectrum,SHA-256,True,PoS,57811001.000889,100262205
BTCC,Bitcoin Core,SHA-256,True,PoW,,21000000
GOLF,GolfCoin,SHA-256D,False,PoW/PoS,0,1713134800
MUSE,Muse,DPoS,True,PoS,18194936,18081806 
XMN,Motion,X16R,True,PoW,8125865.02097646,22075700
PLUS1,PlusOneCoin,HMQ1725,True,PoW,8645406.16776286,21000000
AXE,Axe,X11,True,PoW,4993030.69736615,21000000
GMCN,GambleCoin,Scrypt,False,PoS,8240763.49472804,15600000
TRVC,Trivechain,X16R,True,PoW/PoS,36923120.6205934,82546564
DTEM,Dystem,Quark,True,PoS,7082392.24744494,21000000
GIC,Giant,Quark,True,PoW/PoS,5919489.76813523,5151000
PNY,Peony Coin,Scrypt,True,PoS,1042012.45227735,16880000000
SAFE,SafeCoin,Zhash,True,PoW/PoS,0,36000000
ABS,Absolute Coin,Lyra2REv2,True,PoW/PoS,13332617.9413708,52500000
VITAE,Vitae,Quark,True,PoS,66053877.6256106,100000000
BSPM,Bitcoin Supreme,Scrypt,True,PoS,,21000000
XGS,GenesisX,XEVAN,False,PoS,0,19000000
BIM,BitminerCoin,CryptoNight,False,PoW,0,50000000
HEX,HexCoin,Scrypt,True,PoW,1416663.06600024,22105263
DEI,Deimos,Scrypt,False,PoW,269143950.637501,1000000000
TPC,TPCash,Scrypt,True,PoW/PoS,5403802.49590733,1000000000
OYS,Oyster Platform,X11,False,PoS,,25000000
WEBC,Webchain,CryptoNight-V7,True,PoW,15580199.3087496,1750000000
RYO,Ryo,Cryptonight-GPU,True,PoW,4890897,88188888
MUSD,MUSDcoin,Scrypt,True,PoW/PoS,0,100000000
URALS,Urals Coin,XEVAN,True,PoW,14746153.0962884,210000000
QWC,Qwertycoin,CryptoNight Heavy,True,PoW,99553110528.8022,184470000000
BITN,Bitcoin Nova,CryptoNight,False,PoW,484454200,1000000000
ARE,ARENON,X11,True,PoS,19269509.94,55000000
DACASH,DACash,X11,False,PoW,26709236.7607446,50000000
EUNO,EUNO,X11,True,PoW/PoS,30771125.9760867,50000000
MMO,MMOCoin,Scrypt,True,PoS,107763867.917675,260000000
DASC,DasCoin,DPoS,True,DPoS,,8589934592 
KETAN,Ketan,PoS,True,PoS,9327131.59708692,210000000
NIX,NIX,Lyra2REv2,True,PoW,0,175000000
ITA,Italocoin,CryptoNight Heavy,False,PoW,,18446744
XSTC,Safe Trade Coin,Scrypt,True,PoS,0,840000000
PPAI,Project Pai,SHA-256,True,PoW,2100000000,2100000000
MBLC,Mont Blanc,Scrypt,True,PoS,0,70000000
XDNA,XDNA,Keccak,True,PoW/PoS,4672513.84432375,366000000
PAXEX,PAXEX,X11,True,PoS,4504639,100000000
DIT,Ditcoin,CryptoNight,True,PoW,,37000000
AZART,Azart,X11,True,PoW,5015881.37315389,25000000
AOP,Averopay,Tribus,False,PoW/PoS,1859475.60962,36500000
XAP,Apollon,Quark,True,PoW/PoS,0,250000000
TSC,ThunderStake,Scrypt,True,PoW/PoS,1059954080.43439,18000000000
SPLB,SimpleBank,NeoScrypt,False,PoW/PoS,2381470.97805063,21000000
HMN,Harvest Masternode Coin,Scrypt,True,PoW/PoS,,10000000
KCASH,Kcash,SHA-512,True,Zero-Knowledge Proof,1000000000,1000000000
XCG,Xchange,X16R,True,PoW,9753753.61515394,100000000
AAC,Acute Angle Cloud,ECC 256K1,True,DPOS,1000000000,1000000000
KST,StarKST,Scrypt,True,PoW,,6000000000
AUK,Aukcecoin,Scrypt,True,PoW/PoS,,80000000
PLAN,Plancoin,Scrypt,True,PoW/PoS,,35000000
TRAID,Traid,NeoScrypt,True,PoW/PoS,0,252000000
TCHB,Teachers Blockchain,Scrypt,True,PoW,,160000000
MIODIO,MIODIOCOIN,Scrypt,True,PoW,,80000000
LTPC,Lightpaycoin,Quark,True,PoS,,21000000
HANA,Hanacoin,Lyra2REv2,False,PoW,,122500000
BTV,Bitvote,CryptoNight,True,PoW/PoS,,21000000
CRYP,CrypticCoin,Equihash,True,PoW,4235111504,7600000000
BTXC,Bettex coin,XEVAN,True,PoS,6787405.18013774,50000000
ZEST,ZestCoin,Quark,True,PoW,0,29300000
XCASH,X-CASH,CryptoNight Heavy X,True,PoW,0,100000000000
BRAZ,Brazio,HMQ1725,False,PoW,75579791.7052214,207000000
ACM,Actinium,Lyra2Z,True,PoW,13634850,84000000
LTZ,Litecoinz,Equihash,True,PoW,,84000000
ETHO,ETHER-1,Ethash,True,PoW,0,13666237
TWISTR,TWIST,SHA-512,False,PoS,200000000,200000000
MBTC,MicroBitcoin,Rainforest,True,PoW,,210000000000
FOREX,FOREXCOIN,Scrypt,True,PoW,,1000000000
BSV,Bitcoin SV,SHA-256,True,PoW,17992514.6469233,21000000
DACH,DACH Coin,Quark,False,PoS,14303114.6740944,38000000
AGM,Argoneum,PHI1612,False,PoW,13969583.3757376,64000000
ARMS,2Acoin,CryptoNight-V7,False,PoW,,17910000
BITM,BitMoney,XEVAN,True,Pos,208515864.367343,70000000000
B2G,Bitcoiin2Gen,Ethash,True,PoW,0,100000000
AUX,Auxilium,Keccak,False,PoA,,300000000
JMC,Junson Ming Chan Coin,X11,True,PoS,17209923728.3266,0
FRED,FREDEnergy,CryptoNight,True,PoW,1867054873.28397,8080000000
ZND,Zenad,Quark,True,POS / MN,0,46000000
NGIN,Ngin,M00N,False,PoW,,360000000
GENX,Genesis Network,Equihash,True,PoW,,4100000000
VTL,Vertical,Lyra2Z,True,PoW,,35000000
C25,C25 Coin,SkunkHash,True,PoW,0,6100000
HERB,HerbCoin,Quark,True,PoW/PoS,35312185.7437239,54000000
AQUA,Aquachain,Argon2,True,PoW,0,42000000
BBTC,BlakeBitcoin,Blake,False,PoW,20595483.8480416,21000000
UMO,Universal Molecule,Blake,True,PoW,1578281.31341127,105120001.44
LIT,Lithium,Blake,True,PoW,15846721.2482747,25228800
ELT,Electron,Blake,False,PoW,24156921.9868023,7000000000
XNB,Xeonbit,CryptoNight,True,PoW,,18400000
RBTC,Smart Bitcoin,SHA-256,True,PoW,0,20999764
PIRATE,PirateCash,Equihash,True,PoS,13475920,105000000
EXO,Exosis,Exosis,True,PoW,406091.925,21000000
BLTG,Block-Logic,Scrypt,True,PoW,35284717.173946,120000000
MIMI,MIMI Money,CryptoNight,False,PoW,,1000000000000000000
OWC,Oduwa,Scrypt,True,PoW/PoS,14777549.3940764,21000000
BEAM,Beam,Equihash,True,PoW,35687520,262800000
GALI,Galilel,Quark,True,PoW/PoS,18265011.2486006,19035999
ZEX,Zaddex,Equihash,False,PoW,,210000000
BTH,Bithereum,Equihash,True,PoW,25150787.5,30886000
ARQ,ArQmA,CryptoNight-lite,True,PoW,,50000000
VEO,Amoveo,SHA-256,True,PoW,,0
CSPN,Crypto Sports,Quark,True,PoS,1934701.67524713,13370000
CREDIT,Credit,Scrypt,True,PoW/PoS,30825710000.0296,74800000000
SCRIBE,Scribe Network,Lyra2REv2,False,PoW,6040583.72997153,32700000
LYTX,LYTIX,QuarkTX,True,PoW/PoS,,100000000
SCA,SiaClassic,Blake2b,False,PoW,,5000000000
LUNES,Lunes,Leased POS,True,LPoS,,150728537.61
SLC,SLICE,QuBit,True,PoW,12925790.4226959,100000000
DASHP,Dash Platinum,X11,True,PoS,715659.44237941,19700000
NSD,Nasdacoin,Scrypt,True,PoW/PoS,20546528.2059957,84000000
VDL,Vidulum,Equihash1927,True,PoW,0,100000000
BEET,Beetle Coin,XEVAN,True,PoW/PoS,198938144.363399,500000000
TTN,Titan Coin,SHA-256D,True,PoW/PoS,896361168,5000000000
AWR,Award,X11,True,PoW/PoS,15420234.5389336,420000000
BST,BlockStamp,SHA-256,True,PoW,0,105000000
BLAST,BLAST,SHA-256,True,PoW,52293836.6277958,64000000
ESBC,ESBC,Quark,True,PoS,,30000000
VBK,VeriBlock,SHA-256,True,PoW,,2100000000
XRC,Bitcoin Rhodium,X13,True,PoW,1170292.5,2100000
GLT,GlobalToken,SHA-256,True,PoW,84613099.9999955,168000000
INSN,Insane Coin,X11,True,PoW/PoS,23775960.3207514,30000000
WRT,WRTcoin,X11,True,PoW,,25000000000
ALX,ALAX,DPoS,True,DPoS,1000000000,1000000000
TFC,The Freedom Coin,X11,True,PoS,0,25000000
MPT,Media Protocol Token,Ethash,False,PoW,10000000000,10000000000
AMBER,AmberCoin,X11,True,PoW/PoS,,1000000000
LDOGE,LiteDoge,Scrypt,True,PoW/PoS,15318887081.0146,35000000000
BBR,Boolberry,X11,True,PoW,0,18450000
SLR,SolarCoin,Scrypt,True,PoW,55565076.3863525,98100000000
TRK,TruckCoin,X11,True,PoW/PoS,242574105.22384,0
UFO,UFO Coin,NeoScrypt,True,PoW,3824685012,4000000000
ASN,Ascension Coin,QuBit,True,PoW/PoS,0,0
OC,OrangeCoin,Scrypt,True,PoW/PoS,3537150,200000000
GSM,GSM Coin,X11,True,PoW/PoS,,1800000
BLC,BlakeCoin,Blake,True,PoW,23356790.1494191,7000000000
BITS,BitstarCoin,Scrypt,True,PoW/PoS,20576532,54256119
NEOS,NeosCoin,SHA-256,True,PoS,4392258.24647793,21000000
HYPER,HyperCoin,Scrypt,True,PoW/PoS,9631199.99309942,0
PINK,PinkCoin,X11,True,PoW/PoS,436353624.490312,500000000
FCN,FantomCoin ,CryptoNight,True,PoW,0,18400000
XWT,World Trade Funds,X15,True,PoW/PoS,,1000000
CESC,Crypto Escudo,Scrypt,True,PoW,780210700,1000000000
TWLV,Twelve Coin,T-Inside,True,PoW/PoS,,0
ADC,AudioCoin,Scrypt,True,PoW/PoS,980732528.97974,10500000000
LOG,Wood Coin,Skein,True,PoW,, 27625814
XCE,Cerium,SHA-256,True,PoW/PoS,,2307925
NKA,IncaKoin,SHA-256,True,PoW/PoS,17939725045.334,190000000
PIGGY,Piggy Coin,X11,True,PoW/PoS,494240666.028571,1000000000
CRW,Crown Coin,SHA-256,True,PoW,22986929.0854247,42000000
GEN,Genstake,Scrypt,True,PoW/PoS,60000000,15000000
LTS,Litestar Coin,X11,True,PoW/PoS,,120000000
QCN,Quazar Coin,CryptoNight,True,PoW,0,18446744
SMLY,SmileyCoin,Scrypt,True,PoW,29583989322.9213,50000000000
BTQ,BitQuark,Multiple,True,PoW,,0
PKB,ParkByte,SHA-256,True,PoW/PoS,0,25000000
HNC,Hellenic Coin,Scrypt,True,PoW,,100000000
MI,XiaoMiCoin,Scrypt,True,PoW/PoS,404316475.545465,400000000
GRS,Groestlcoin,Groestl,True,PoW,73298203.8873662,105000000
CPC,CapriCoin,X11,True,PoW/PoS,201364327.427503,208000000
CLUB, ClubCoin,Scrypt,True,PoW/PoS,103621876.167052,160000000
RADS,Radium,PoS,True,PoS,3821245.74150193,9000000
BTA,Bata,Scrypt,True,PoW,5052555.91981545,5000000
PAK,Pakcoin,Scrypt,True,PoW,69684455.4387001,182000000
CRB,Creditbit ,X11,True,Proof of Trust,16901016.6609755,16504333
OK,OKCash,SHA-256,True,PoW/PoS,74676064.9488608,105000000
LSK,Lisk,DPoS,True,DPoS,120012140,159918400
XHI,HiCoin,Scrypt,True,PoS,10000244677.7002,10008835635
XWC,WhiteCoin,Scrypt,True,PoW/PoS,252005564.19257,300000000
DOT,Dotcoin,Scrypt,True,PoW,0,890000000
FSC,FriendshipCoin,NeoScrypt,True,PoW/PoS,1120385.00502,60168145
THC,The Hempcoin,Scrypt,True,PoW/PoS,0,300000000
FIII,Fiii,SHA3-256,True,DPoC,-5917977547.96773,5000000000
J,JoinCoin,Multiple,True,PoW,3332922.5,2800000
TRI,Triangles Coin,X13,True,PoW/PoS,140777.753365,120000
RAIZER,RAIZER,SHA-256,False,PoW,,1000000000
VOLLAR,Vollar,Equihash+Scrypt,True,PoW,100000000,2100000000
VNTY,VENOTY,Scrypt,False,PoW,,94000000
AX,AlphaX,Scrypt,True,PoS,,200000000000
SWI,Swinca,Quark,False,PoW/PoS,,400000000
TCR,TecraCoin,Lyra2Z,False,PoW,40874452.4756771,210000000
HCXP,HCX PAY,CryptoNight,False,PoW,,2000000000
GEX,Gexan,PHI2,False,PoW/PoS,2233828.12953048,21000000
EOS,EOS,DPoS,True,DPoS,1020544523.0722,0
AHT,Ahoolee,Ethash,True,PoW,,100000000
RCC,Reality Clash,Ethash,True,PoW,24487944.0958204,24487944
OXY,Oxycoin,DPoS,True,DPoS,1122382283.37,0
Z2,Z2 Coin,SHA-256,False,PoW,,11000000
KAPU,Kapu,DPoS,True,DPoS,,115000000
GRFT,Graft Blockchain,CryptoNight,True,PoW/PoS,,1844674400
MNZ,Monaize,Equihash,True,PoW/DPoW,,257142857
AVE,Avesta,Avesta hash,False,PoW,,200000000
XSB,Extreme Sportsbook,X11,False,PoS,,3000000
SCRM,Scorum,DPoS,True,DPoS,,20000000
LWF,Local World Forwarders,DPoS,True,DPoS,,100000000
ILT,iOlite,Ethash,True,PoW,0,1000000000
ADM,Adamant,DPoS,True,DPoS,,200000000
UPX,uPlexa,CryptoNight,True,PoW,,10500000000
TCH,TigerCash,SHA-256,True,PoS,1000000000,1000000000
LAX,LAPO,Lyra2Z,False,PoW/PoS,11086825523.3769,100000000000
TIP,Tip Blockchain,DPoS,True,PoS,,1000000000
DTEP,DECOIN,X11,True,PoS,,140000000
WAVES,Waves,Leased POS,True,LPoS,100000000,100000000
PART,Particl,PoS,True,PoS,9283137.5558676,8634140
SLX,Slate,Slatechain,True,PoW,,950000000
SHARD,ShardCoin,Scrypt,False,PoS,24924986.0946492,900000000
BTT,BitTorrent,TRC10,True,DPoS,989988713439.649,990000000000
CHI,XAYA,NeoScrypt,True,PoW,,77303932
ZILLA,ChainZilla,Equihash,False,DPoW,11000068.2715789,11000000
NXT,Nxt,PoS,True,PoS/LPoS,1000000000,1000000000
ZEPH,ZEPHYR,SHA-256,True,DPoS,1999999995.3056,2000000000
XQN,Quotient,Scrypt,True,PoW/PoS,,0
NETC,NetworkCoin,X13,True,PoW/PoS,,400000
VPRC,VapersCoin,Scrypt,True,PoW,,42750000000
GAP,Gapcoin,Scrypt,True,PoW/PoS,14931046.1546605,250000000
SERO,Super Zero,Ethash,True,PoW,,1000000000
UOS,UOS,SHA-256,True,DPoI,,1000000000
BDX,Beldex,CryptoNight,True,PoW,980222595,1400222610
ZEN,Horizen,Equihash,True,PoW,7296537.5,21000000
XBC,BitcoinPlus,Scrypt,True,PoS,128326.99633965,1000000
DVTC,DivotyCoin,Scrypt,False,PoW/PoS,21491213.4644496,100000000
GIOT,Giotto Coin,Scrypt,False,PoW/PoS,,233100000
OPSC,OpenSourceCoin,SHA-256,False,PoW/PoS,,21000000
PUNK,SteamPunk,PoS,False,PoS,,40000000
